City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Portland,US,94.98,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
200,Sioux Lookout,CA,80.67,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
202,Dhidhdhoo,MV,81.5,overcast clouds,6.8833,73.1,Dhidhoo beach
204,Gonen,TR,76.96,clear sky,40.1049,27.654,Gönen Palmiye Butik Pansiyon
206,Svetlaya,RU,69.66,clear sky,46.5389,138.3297,
207,Lasa,IT,66.36,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
208,Sola,VU,80.11,overcast clouds,-13.8833,167.55,Leumerus Bungalows
210,Fairbanks,US,68.22,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
212,Gweta,BW,65.62,clear sky,-20.1833,25.2333,Gweta Lodge
213,Burdur,TR,84.9,clear sky,37.7203,30.2908,Özeren Grand Hotel & Spa
214,Shenzhen,CN,86.27,broken clouds,22.5455,114.0683,Grand Skylight
215,Mukhen,RU,67.93,broken clouds,48.1,136.1,
218,Birjand,IR,79.27,overcast clouds,32.8663,59.2211,Birjand Tourist Hotel
219,Nicolas Bravo,MX,87.48,scattered clouds,18.45,-88.9167,
222,Paciran,ID,75.34,clear sky,-6.8767,112.3761,Tanjung Kodok Beach Resort
226,Belyy Yar,RU,67.89,clear sky,53.6039,91.3903,Pasportnyy Stol
227,Mayskiy,RU,80.01,broken clouds,47.6931,40.1025,Dio Lakrua
228,Westport,US,88.9,broken clouds,41.1415,-73.3579,The Westport Inn
229,Karaton,ID,73.56,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
232,Misratah,LY,83.08,clear sky,32.3754,15.0925,Almasa Hotel
233,Ampanihy,MG,68.02,overcast clouds,-24.7,44.75,Angora Hotel
234,Luzhou,CN,79.07,scattered clouds,28.8724,105.4405,Shijichun Hotel
236,Galiakot,IN,83.88,overcast clouds,23.5167,74.0,Galiakot
237,Warrington,GB,68.72,scattered clouds,53.3925,-2.5802,Villaggio Hotel
238,Dingle,PH,75.69,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
239,Merauke,ID,77.16,overcast clouds,-8.4667,140.3333,
