City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Ancud,CL,-41.8697,-73.8203,49.23,64,100,2.28,overcast clouds
123,Broome,US,42.2506,-75.833,81.7,54,75,10.36,broken clouds
124,Lukovetskiy,RU,64.2956,41.9211,58.12,97,100,4.97,overcast clouds
125,Sao Felix Do Xingu,BR,-6.6447,-51.995,96.87,24,52,2.77,broken clouds
126,Pontianak,ID,-0.0333,109.3333,76.98,94,100,3.44,light rain
127,Hambantota,LK,6.1241,81.1185,79.45,86,100,15.75,overcast clouds
128,Rockport,US,28.0206,-97.0544,94.06,69,0,17.27,clear sky
129,Alta Floresta,BR,-9.8756,-56.0861,94.82,23,5,4.61,smoke
130,Bazaliya,UA,49.7127,26.4733,73.81,41,100,11.63,overcast clouds
131,Pokhvistnevo,RU,53.6524,52.1274,68.16,63,47,3.06,scattered clouds
132,Tasiilaq,GL,65.6145,-37.6368,48.36,63,9,2.53,clear sky
133,Cusco,PE,-13.5183,-71.9781,70.03,17,11,6.91,few clouds
134,Scarborough,GB,54.2797,-0.4044,66.33,87,100,3.0,overcast clouds
135,Kupang,ID,-10.1667,123.5833,75.33,83,49,11.79,scattered clouds
136,Cape Town,ZA,-33.9258,18.4232,51.28,90,40,3.44,scattered clouds
137,Luganville,VU,-15.5333,167.1667,74.48,88,100,2.59,overcast clouds
138,Acapulco,MX,16.8634,-99.8901,87.62,70,75,8.05,broken clouds
139,Marsh Harbour,BS,26.5412,-77.0636,84.2,69,61,13.85,broken clouds
140,Semnan,IR,35.5729,53.3971,85.84,13,20,11.5,few clouds
141,Kikwit,CD,-5.041,18.8162,82.87,28,57,2.44,broken clouds
142,Victoria,HK,22.2855,114.1577,86.38,86,43,1.99,scattered clouds
143,Saint-Philippe,RE,-21.3585,55.7679,66.22,80,44,16.78,scattered clouds
144,Myronivka,UA,49.6601,30.9823,70.43,52,2,9.35,clear sky
145,Stepnyak,KZ,52.8339,70.7803,62.51,75,90,8.43,overcast clouds
146,Puerto Ayacucho,VE,5.6639,-67.6236,85.41,67,20,2.24,few clouds
147,Kichera,RU,55.9375,110.0997,54.72,93,100,1.88,overcast clouds
148,Taltal,CL,-25.4,-70.4833,60.71,72,93,6.26,overcast clouds
149,Lebu,CL,-37.6167,-73.65,52.65,76,100,9.4,overcast clouds
150,Mar Del Plata,AR,-38.0023,-57.5575,53.62,80,0,5.75,clear sky
151,Mecca,SA,21.4267,39.8261,90.95,32,100,5.3,overcast clouds
152,Namibe,AO,-15.1961,12.1522,62.76,86,94,1.83,overcast clouds
153,Voh,NC,-20.9667,164.7,67.48,85,100,14.45,overcast clouds
154,Aswan,EG,24.0934,32.907,94.6,15,4,10.69,clear sky
155,Mahebourg,MU,-20.4081,57.7,70.25,78,40,23.02,scattered clouds
156,Port Hardy,CA,50.6996,-127.4199,66.38,82,20,8.05,fog
157,Kaitangata,NZ,-46.2817,169.8464,37.54,91,95,9.57,overcast clouds
158,Saint-Augustin,CA,51.226,-58.6502,66.16,78,96,14.79,overcast clouds
159,Rio Bananal,BR,-19.265,-40.3333,75.99,65,66,9.95,broken clouds
160,Jalu,LY,29.0331,21.5482,89.89,16,0,4.92,clear sky
161,Pemangkat,ID,1.1667,108.9667,77.85,87,100,5.95,overcast clouds
162,Puerto Colombia,CO,10.9878,-74.9547,91.49,72,15,22.41,few clouds
163,Jamestown,US,42.097,-79.2353,77.52,52,40,14.97,scattered clouds
164,Neya,RU,58.2972,43.8681,57.31,80,0,4.68,clear sky
165,Andenes,NO,69.3143,16.1194,61.93,82,0,3.44,clear sky
166,Parauna,BR,-16.9478,-50.4486,84.4,26,0,1.61,clear sky
167,Innisfail,AU,-17.5333,146.0333,65.8,88,77,5.93,broken clouds
168,Bathsheba,BB,13.2167,-59.5167,86.61,84,40,18.41,scattered clouds
169,Necochea,AR,-38.5473,-58.7368,58.53,55,100,5.12,overcast clouds
170,Bengkulu,ID,-3.8004,102.2655,76.5,89,100,5.5,overcast clouds
